timestamp_us,acceleration,capacitance
1513,10,0
2726,72,0
3938,104,0
5151,44,0
6363,-6,0
7576,-45,0
8789,-77,0
10000,-69,0
11213,-28,1776975
12425,20,1776975
13638,65,1776975
14851,84,1776975
16063,64,1776975
17276,-9,1776975
18488,-63,1776975
19701,-91,1776975
20913,-51,1776975
22126,5,1770038
23338,59,1770038
24550,90,1770038
25763,79,1770038
26975,32,1770038
28188,-35,1770038
29401,-53,1770038
30613,-43,1770038
31826,-4,1770038
33038,30,1776975
34250,47,1776975
35463,47,1776975
36676,34,1776975
37888,6,1776975
39100,-17,1776975
40313,-14,1776975
41525,1,1776975
42738,24,1776975
43950,29,1792650
45163,33,1792650
46376,29,1792650
47588,-1,1792650
48800,-20,1792650
50013,-19,1792650
51225,-6,1792650
52438,9,1792650
53651,28,1792650
54863,35,1788692
56075,34,1788692
57288,27,1788692
58500,10,1788692
59714,15,1788692
60926,51,1788692
62138,9,1788692
63350,-24,1788692
64563,-77,1788692
65775,-102,1794757
66988,-45,1776718
68200,26,1776718
69413,76,1776718
70625,102,1776718
71839,70,1776718
73050,13,1776718
74263,-41,1776718
75476,-90,1776718
76688,-87,1776718
77901,-51,1772813
79113,-101,1772813
86503,-121,1772813
87601,-78,1772813
88813,-1,1772813
90025,68,1772813
91238,107,1772813
92451,83,1772813
93663,25,1772813
94875,-46,1772813
96088,-79,1772813
97301,-67,1772813
98513,-12,1754209
99725,42,1704296
100938,74,1769832
102151,64,1769832
103363,26,1769832
104576,-21,1769832
105788,-51,1769832
107001,-44,1769832
108213,-1,1769832
109427,21,1769832
110638,37,1779185
111851,51,1779185
113064,125,1779185
114276,201,1779185
115489,148,1779185
116701,-7,1779185
117914,-164,1779185
119127,-246,1779185
120339,-201,1779185
121552,-79,1779156
122765,60,1743828
123978,149,1743828
125189,188,1743828
126402,153,1743828
127615,58,1743828
128827,-36,1743828
130040,-155,1743828
131252,-176,1743828
132465,-136,1743773
133678,-35,1701533
134890,70,1701533
136103,134,1701533
137316,136,1701533
138528,93,1701533
139741,0,1701533
140953,-75,1701533
142166,-123,1701533
143378,-105,1701533
144591,-55,1701533
145804,45,1701533
147017,131,1701533
148229,153,1701533
149441,73,1701533
150654,-40,1701533
151866,-121,1701533
153079,-143,1720856
154292,-70,1720856
155504,30,1720856
156717,105,1720856
157930,143,1720856
159142,103,1720856
160354,25,1720856
161567,-62,1720856
162779,102,1720856
170055,61,1720856
171268,38,1720856
172480,25,1720856
173693,-32,1720856
174905,-81,1720856
176117,-88,1746911
177331,-24,1746911
178543,46,1746911
179755,108,1746911
180968,98,1746911
182180,53,1746911
183394,-8,1746911
184605,-84,1746911
185818,-102,1746911
187031,-85,1757498
188244,-22,1757498
189456,35,1757498
190669,91,1757498
191881,97,1757498
193094,68,1757498
194307,0,1757498
195519,-46,1757498
196731,-65,1757498
197944,-55,1757292
199156,-25,1757292
200370,32,1757292
201582,67,1757292
202794,71,1757292
204007,45,1757292
205220,-22,1757292
206432,-41,1757292
207644,-58,1757292
208857,-32,1754672
210069,2,1754672
211282,37,1754672
212494,70,1754672
213707,60,1754672
214919,25,1754672
216132,-25,1754672
217344,-64,1754672
218558,-66,1754672
219769,-36,1759657
220982,8,1759657
222195,59,1759657
223407,105,1759657
224620,147,1759657
225832,77,1759657
227045,-23,1759657
228257,-143,1759657
229470,-187,1759657
230683,-104,1761095
231895,32,1761095
233108,111,1761095
234320,147,1761095
235533,113,1761095
236745,56,1761095
237958,-46,1761095
239171,-99,1761095
240383,-116,1761095
241596,-49,1747066
242808,24,1747066
244021,91,1747066
245234,105,1747066
246445,73,1746186
253721,127,1772042
254933,138,1772042
256146,66,1772042
257358,-53,1772042
258571,-171,1772042
259783,-235,1772042
260996,-183,1772042
262208,-55,1772042
263421,87,1772042
264634,190,1752410
265846,238,1752410
267059,146,1752410
268271,54,1752410
269484,-112,1752410
270696,-189,1752410
271909,-212,1752410
273122,-107,1752410
274335,13,1752410
275547,129,1604506
276760,194,1604506
277973,161,1604506
279185,63,1604506
280397,-47,1604506
281610,-136,1604506
282823,-167,1604506
284035,-118,1604506
285248,-7,1604506
286461,78,1586392
287674,141,1717464
288886,126,1717464
290098,34,1717464
291311,-23,1717464
292523,-92,1717464
293736,-84,1717464
294948,-49,1717464
296162,15,1717464
297373,60,1720702
298586,101,1720702
299798,105,1720702
301012,24,1720702
302225,-65,1720702
303436,72,1720702
304650,-46,1720702
305862,-37,1720702
307075,-60,1720702
308287,-3,1720702
309499,15,1720702
310712,28,1720702
311924,111,1720702
313138,69,1720702
314349,-18,1720702
315562,4,1720702
316775,-134,1720702
317987,-142,1720702
319199,-1,1720693
320412,37,1773429
321624,103,1773429
322837,242,1773429
324049,155,1773429
325263,-104,1773429
326475,-129,1773429
327688,-193,1773429
328900,-93,1773429
330113,-23,1773429
337501,-51,1773429
338600,-232,1773429
339813,-240,1753130
341025,-125,1753130
342238,32,1753130
343450,112,1753130
344663,127,1753130
345875,122,1753130
347088,96,1753130
348300,111,1753130
349513,112,1753130
350726,19,1752051
351938,-142,1752051
353151,-208,1752051
354363,-183,1752051
355576,-98,1752051
356788,48,1752051
358001,127,1752051
359214,230,1752051
360426,184,1752051
361639,120,1752051
362851,-59,1754209
364063,-183,1754209
365276,-254,1754209
366489,-198,1754209
367702,-45,1754209
368914,97,1754209
370127,189,1754209
371339,173,1754209
372552,181,1754209
373765,69,1753798
374977,-19,1753798
376189,-146,1753798
377402,-164,1753798
378615,-127,1753798
379827,-29,1753798
381040,75,1753798
382252,145,1753798
383465,220,1753798
384678,124,1736068
385890,2,1736068
387103,-107,1736068
388315,-167,1736068
389528,-171,1736068
390740,-98,1736068
391952,33,1736068
393166,114,1736068
394378,162,1736068
395590,188,1736633
396803,101,1736633
398016,-27,1736633
399228,-145,1736633
400441,-188,1736633
401654,-160,1736633
402866,-18,1736633
404079,86,1736633
405291,143,1736633
406504,152,1716950
407716,84,1716950
408929,28,1716950
410142,-47,1716950
411354,-97,1716950
412566,-133,1716950
413778,97,1716950
421053,7,1716950
422266,-97,1716950
423478,-150,1716950
424691,-129,1716950
425904,-41,1716950
427116,57,1716950
428328,131,1750560
429541,141,1750560
430754,96,1750560
431966,-29,1750560
433179,-101,1750560
434391,-134,1750560
435604,-64,1750560
436817,10,1750560
438029,80,1750560
439242,114,1748813
440454,84,1748813
441666,33,1748813
442879,-25,1748813
444091,-57,1748813
445304,-60,1748813
446516,-21,1748813
447729,26,1748813
448941,71,1748813
450154,84,1760273
451367,54,1787305
452579,12,1787305
453791,-29,1787305
455004,-52,1787305
456216,-63,1787305
457429,-46,1787305
458641,6,1787305
459854,48,1787305
461066,86,1787305
462279,110,1799125
463492,82,1799125
464704,61,1799125
465917,-54,1799125
467129,-101,1799125
468342,-145,1799125
469554,-117,1799125
470767,-49,1799125
471980,37,1799125
473192,147,1799125
474405,158,1799125
475617,127,1799125
476830,21,1799125
478042,-101,1799125
479255,-187,1799125
480467,-192,1799125
481680,-80,1799125
482893,37,1799125
484106,127,1817587
485318,161,1752051
486530,127,1752051
487743,57,1752051
488956,3,1752051
490169,-40,1752051
491380,-94,1752051
492593,-108,1752051
493806,-80,1752051
495018,-9,1744034
496231,54,1744034
497443,-131,1744034
505930,-79,1755340
507143,-12,1755340
508356,59,1755340
509568,107,1755340
510781,89,1755340
511993,39,1755340
513206,-2,1755340
514419,-26,1755340
515631,-73,1755340
516844,-67,1755280
518056,-26,1766800
519268,19,1766800
520481,96,1766800
521693,94,1766800
522906,51,1766800
524118,-29,1766800
525331,-63,1766800
526544,-84,1766800
527756,-51,1766800
528969,10,1766800
530181,77,1766800
531394,109,1766800
532607,82,1766800
533819,40,1766800
535032,-31,1766800
536244,-79,1766800
537456,-83,1784941
538669,-48,1784941
539881,2,1784941
541095,50,1784941
542306,83,1784941
543519,65,1784941
544732,28,1784941
545945,-29,1784941
547156,-69,1784941
548370,-76,1784941
549582,-40,1777592
550795,0,1777592
552007,46,1777592
553220,70,1777592
554432,54,1777592
555644,17,1777592
556858,-27,1777592
558070,-32,1777592
559282,-12,1777592
560495,11,1779288
561707,39,1779288
562920,62,1779288
564132,71,1779288
565345,39,1779288
566558,17,1779288
567770,-20,1779288
568983,-56,1779288
570195,-79,1779288
571408,-50,1784016
572620,-4,1784016
573834,43,1784016
575046,77,1784016
576258,76,1784016
577472,58,1784016
578684,38,1784016
579896,-13,1784016
581109,-70,1784016
582321,121,1784016
589596,81,1784016
590810,6,1784016
592022,-87,1784016
593235,-137,1779288
594447,-138,1779288
595659,-77,1779288
596872,16,1779288
598085,93,1779288
599297,143,1779288
600509,106,1779288
601723,12,1779288
602934,-64,1779288
604148,-93,1774252
605360,-35,1774252
606572,51,1774252
607785,93,1774252
608998,104,1774252
610210,63,1774252
611423,3,1774252
612635,-54,1774252
613848,-91,1774252
615060,-87,1758012
616273,-54,1758012
617485,22,1758012
618697,69,1758012
619910,104,1758012
621123,81,1758012
622336,12,1758012
623548,-37,1758012
624761,-78,1758012
625973,-72,1764128
627185,-50,1764128
628399,21,1764128
629611,71,1764128
630823,108,1764128
632036,94,1764128
633248,33,1764128
634462,-29,1764128
635673,-77,1764128
636886,-88,1759965
638098,-36,1760170
639312,5,1760170
640524,46,1760170
641737,59,1760170
642950,83,1760170
644162,26,1760170
645374,-16,1760170
646586,-58,1760170
647799,-69,1760170
649011,-52,1767211
650225,-5,1767211
651437,35,1767211
652650,52,1767211
653862,54,1767211
655074,38,1767211
656287,-3,1767211
657499,-28,1767211
658712,-44,1767211
659925,-46,1752205
661137,-29,1752205
662349,18,1752205
663562,51,1752205
664775,43,1752205
665987,46,1752205
674475,97,1752205
675688,126,1752205
676900,64,1752205
678112,-4,1752205
679325,-75,1752205
680538,-113,1781755
681750,-107,1829098
682963,-45,1763562
684175,27,1763562
685388,76,1763562
686600,111,1763562
687812,80,1763562
689025,20,1763562
690238,-39,1763562
691451,-88,1763562
692664,-86,1763536
693876,-54,1770192
695088,2,1770192
696301,54,1770192
697513,82,1770192
698726,80,1770192
699939,33,1770192
701151,-20,1770192
702364,-57,1770192
703576,-80,1769987
704788,-49,1701379
706002,-20,1701379
707214,38,1701379
708427,67,1701379
709639,74,1701379
710852,36,1701379
712065,7,1701379
713276,-30,1701379
714489,-47,1701379
715702,-40,1701379
716914,-13,1701379
718127,8,1701379
719340,41,1701379
720552,45,1701379
