timestamp_us,acceleration,capacitance
606,38,8332944
1819,26,8331776
3032,0,8331776
4244,0,8331776
5457,30,8331776
6670,0,8331776
7880,26,8331776
9089,4,8331520
10308,25,8331520
11522,10,8331520
12734,12,8323328
13944,10,8323328
15160,24,8323328
16373,8,8323328
17586,23,8323328
18784,22,8323328
20012,0,8323328
21224,24,8330272
22437,1,8330272
23648,6,8330272
24832,32,8330272
26076,0,8330272
27289,4,8330272
28502,16,8330272
29712,3,8330272
30928,20,8330272
32140,6,8328488
33352,8,8328488
34560,32,8331276
35777,29,8331276
36992,28,8331276
38205,25,8331276
39416,20,8331276
40624,1,8331276
41842,0,8331276
43056,20,8333324
44256,18,8333324
45480,21,8335627
46690,4,8335627
47908,8,8335627
49120,32,8335627
50304,4,8335627
51544,0,8335627
52755,27,8335627
53972,16,8332297
55185,10,8332297
56385,23,8332432
57610,13,8323216
58824,15,8323216
60032,1,8323216
61249,32,8323216
61442,26,8323216
63676,32,8323216
64888,16,8323632
66097,0,8323632
67314,10,8323617
68515,28,8331809
69728,26,8331809
70952,5,8331809
72161,24,8331809
73378,14,8331809
74563,8,8331809
75776,24,8335873
77017,16,8335873
78224,26,8335873
82432,32,8335873
86658,24,8323232
87100,0,8323232
81976,12,8323232
90288,20,8323232
90161,2,8323232
92720,16,8323232
90924,6,8323232
94376,32,8323232
96288,4,8323232
65570,8,8323104
98848,8,8331883
98973,17,8331883
98328,0,8331883
102416,7,8331883
102676,32,8331883
104592,13,8331883
98829,1,8331883
106505,14,8331883
108546,0,8335397
106628,19,8336385
110593,23,8336385
111104,6,8336385
113338,33,8336385
99378,5,8336385
114740,20,8336385
117041,32,8336385
114849,28,8336385
119339,0,8331267
119843,25,8337492
114720,24,8337492
123041,24,8337492
122880,24,8337492
125466,24,8337492
123668,4,8337492
127120,3,8337492
129040,0,8337492
2,0,8337492
131594,0,8323329
131716,24,8323329
131072,24,8323329
135170,0,8323329
135362,17,8323329
137344,0,8323329
131640,24,8323329
140080,24,8323329
140464,0,8323329
139300,0,8323233
143392,18,8323233
143912,1,8323233
146080,24,8323233
132130,4,8323233
147460,21,8323233
149760,24,8323233
147608,0,8323233
152081,0,8323233
152594,0,8327522
147460,16,8327522
155778,22,8327522
155656,26,8327522
158210,21,8327522
156416,25,8327522
159876,0,8327522
161856,25,8327522
168096,6,8327522
170020,32,8327522
164384,9,8327522
172832,30,8327522
173184,25,8331372
172032,8,8332488
176148,24,8331464
176658,26,8331464
178832,24,8331464
164868,4,8331464
180224,4,8331464
182532,4,8331464
180354,16,8331464
184903,0,8331464
185348,24,8334224
180417,24,8325520
188470,0,8325520
188467,24,8325520
191024,24,8325520
189093,0,8325520
192544,4,8325520
194598,0,8325520
131360,12,8325520
196768,8,8325569
197125,1,8325168
196610,2,8325168
200727,0,8325168
200852,26,8325168
202768,0,8325168
197125,29,8325168
205570,26,8325168
205952,24,8333314
204804,25,8333314
208897,20,8333710
209093,1,8333710
211587,5,8333710
197696,33,8333710
213044,26,8333710
215217,1,8333710
213030,29,8333710
217632,30,8333710
217888,32,8323204
213156,17,8323140
221217,9,8323140
221190,20,8323140
223744,0,8323140
221824,27,8323140
225301,28,8323140
227344,22,8323140
196870,21,8323140
229508,0,8325380
229888,19,8332288
229380,1,8332288
233473,33,8332288
233607,9,8332288
235588,14,8332288
229888,20,8332288
238260,28,8332288
238642,24,8332288
237608,18,8336464
241956,1,8332820
241825,18,8332820
244262,12,8332820
230434,29,8332820
253957,0,8332820
253953,5,8332820
256519,26,8332820
254592,10,8332820
258048,17,8332820
260100,32,8332820
194,2,8332820
262199,0,8331392
262704,20,8331392
265008,24,8331392
263333,20,8331392
266274,24,8331392
268327,26,8331392
262692,29,8331392
271009,2,8331392
271366,30,8331392
270338,26,8331265
274712,24,8331265
274581,24,8331265
277009,31,8331265
263174,0,8331265
278531,28,8331265
280704,32,8331265
278532,29,8331265
283136,1,8331265
283335,0,8323216
278656,16,8323216
286784,26,8323216
287029,28,8323216
288946,0,8323216
287270,8,8323216
290848,14,8323216
292896,32,8323216
