timestamp_us,acceleration,capacitance
605,-34,0
1821,-20,0
3036,-24,0
4251,-3,1669259
5465,12,1671315
6680,17,1671315
7896,4,1671315
9111,-7,1671315
10326,-7,1671315
11542,-28,1671315
12757,21,1671315
13972,19,1671315
15187,17,1671315
16402,5,1671360
17617,-1,1642176
18832,-9,1642176
20048,-18,1642176
21262,7,1642176
22478,15,1642176
23693,20,1642176
24908,43,1642176
26123,5,1642176
27338,-27,1642216
28554,-46,1666536
29769,-43,1666536
30984,10,1666536
32199,41,1666536
33415,46,1666536
34629,18,1666536
35844,8,1666536
37060,-12,1666536
38275,-15,1666321
39490,13,1636369
40705,20,1636369
41920,8,1636369
43136,15,1636369
44350,6,1636369
45566,1,1636369
46780,-5,1636369
47996,-5,1636369
49211,-7,1636369
50426,6,1636369
51642,6,1636369
52857,6,1636369
54071,3,1636369
55286,0,1636369
56501,-10,1636369
57716,0,1636369
58932,11,1638425
60147,19,1638425
61361,24,1638425
62576,8,1638425
63791,-5,1638425
65006,-15,1638425
66222,-4,1638425
67437,4,1638425
68652,21,1638425
69867,20,1640994
71082,23,1640994
72298,9,1640994
73512,2,1640994
74727,5,1640994
75942,18,1640994
77157,15,1640994
78372,-61,1640994
85765,-134,1640994
86877,-125,1640994
88092,-24,1640994
89308,82,1640994
90522,141,1640994
91737,132,1640994
92953,61,1697627
94168,-37,1697627
95382,-111,1697627
96597,-116,1697627
97812,-66,1697627
99027,25,1697627
100242,98,1697627
101457,127,1697627
102672,79,1697627
103887,-13,1674090
105102,-85,1674090
106317,-96,1674090
107533,-59,1674090
108747,9,1674090
109962,68,1674090
111177,89,1674090
112392,55,1674090
113607,1,1674090
114822,-46,1665199
116038,-68,1665199
117252,-32,1665199
118468,21,1665199
119682,67,1665199
120898,81,1665199
122113,68,1665199
123328,9,1665199
124543,-27,1665199
125758,-56,1667409
126973,-43,1667409
128188,8,1667409
129403,51,1667409
130618,56,1667409
131833,45,1667409
133048,-7,1667409
134263,-28,1667409
135479,-45,1667409
136694,-26,1671829
137908,-7,1671829
139124,30,1671829
140339,65,1671829
141554,48,1671829
142769,-1,1671829
143984,-16,1671829
145199,-51,1671829
146413,-50,1671829
147629,-17,1668334
148844,41,1668334
150059,74,1668334
151274,70,1668334
152489,18,1668334
153705,-31,1668334
154919,-71,1668334
156134,-52,1668334
157349,-5,1668334
158564,56,1655795
159779,82,1655795
160995,72,1655795
162209,73,1654972
170714,55,1654972
171930,19,1654972
173145,-36,1654972
174360,-57,1654972
175575,-37,1654972
176790,-1,1654972
178006,33,1654972
179220,55,1654972
180436,48,1650245
181650,10,1650245
182865,-21,1650245
184080,-40,1650245
185296,-23,1650245
186510,13,1650245
187725,40,1650245
188941,46,1650245
190156,33,1650245
191371,-2,1646236
192586,-23,1646236
193801,-33,1646236
195016,-20,1646236
196231,5,1646236
197446,35,1646236
198661,51,1646236
199877,48,1646236
201091,14,1646236
202306,-23,1659084
203522,-45,1659084
204737,-31,1659084
205951,-1,1659084
207166,31,1659084
208382,49,1659084
209596,45,1659084
210812,13,1659084
212027,-20,1659084
213242,-29,1663606
214457,-24,1670236
215673,-4,1670236
216887,16,1670236
218102,34,1670236
219317,29,1670236
220533,15,1670236
221747,0,1670236
222963,-14,1670236
224178,-6,1670236
225393,5,1682107
226608,48,1682107
227823,44,1682107
229039,8,1682107
230253,-24,1682107
231468,-47,1682107
232683,-42,1682107
233898,-8,1682107
235113,21,1682107
236329,47,1690021
237544,47,1690021
238759,21,1690021
239974,-14,1690021
241190,-33,1690021
242404,-43,1690021
243620,-18,1690021
244834,15,1690021
246050,38,1690021
247265,17,1690021
255770,30,1690021
256986,39,1681234
258200,13,1675683
259415,-16,1675683
260630,-32,1675683
261845,-16,1675683
263061,7,1675683
264276,25,1675683
265492,30,1675683
266706,17,1675683
267921,-10,1675683
269136,-24,1689456
270351,-18,1689456
271566,-7,1689456
272781,7,1689456
273997,9,1689456
275212,3,1689456
276428,-7,1689456
277643,-6,1689456
278858,7,1689456
280073,44,1688223
281288,53,1688223
282505,48,1688223
283719,34,1688223
284934,-24,1688223
286150,-56,1688223
287365,-60,1688223
288581,-15,1688223
289795,57,1688223
291011,85,1688207
292226,16,1684111
293441,-54,1684111
294656,-85,1684111
295872,-76,1684111
297088,-12,1684111
298302,63,1684111
299518,92,1684111
300733,76,1684111
301948,15,1684029
303164,-37,1689405
304379,-87,1689405
305594,-75,1689405
306809,-14,1689405
308025,65,1689405
309241,101,1689405
310455,84,1689405
311671,10,1689405
312887,-64,1689580
314102,-103,1709036
315317,-73,1709036
316533,-6,1709036
317747,64,1709036
318963,89,1709036
320179,62,1709036
321393,9,1709036
322609,-55,1709036
323824,-68,1709036
325039,-47,1709036
326254,15,1709036
327470,57,1709036
328685,67,1709036
329901,48,1709036
331116,11,1709036
332331,-64,1709036
339763,-56,1709036
340838,-3,1709036
342053,46,1709036
343269,71,1709036
344486,68,1719468
345700,35,1719468
346915,-22,1719468
348131,-47,1719468
349346,-44,1719468
350561,-48,1719468
351776,-17,1719468
352992,10,1719468
354207,19,1719468
355422,48,1719468
356637,48,1713199
357853,12,1713199
359068,-6,1713199
360283,-10,1713199
361499,-8,1713199
362714,-6,1713199
363929,10,1713199
365144,19,1713199
366360,18,1713199
367575,17,1655898
368790,2,1655898
370006,-11,1655898
371221,-22,1655898
372437,-8,1655898
373652,8,1655898
374868,23,1655898
376082,38,1655898
377298,22,1655898
378513,1,1677687
379729,-23,1677687
380945,-16,1677687
382159,43,1677687
383375,38,1677687
384590,23,1677687
385806,13,1677687
387021,8,1677687
388236,-14,1677687
389451,-26,1684523
390667,-9,1684523
391882,8,1684523
393097,21,1684523
394313,28,1684523
395529,10,1684523
396743,3,1684523
397959,20,1684523
399174,2,1684523
400390,-23,1689507
401605,-3,1689507
402821,2,1689507
404036,16,1689507
405251,28,1689507
406466,11,1689507
407682,-14,1689507
408897,-5,1689507
410112,1,1689507
411327,13,1679435
412543,16,1679435
413758,26,1679435
414974,11,1679435
416189,26,1679435
424696,22,1679435
425911,2,1679435
427127,-11,1679435
428343,-9,1679435
429558,2,1679435
430773,7,1679435
431988,13,1679435
433203,9,1705696
434419,35,1705696
435634,25,1705696
436849,23,1705696
438065,22,1705696
