timestamp_us,acceleration,capacitance
605,56,0
1820,22,0
3035,-15,0
4250,-65,1674450
5465,-56,1674450
6681,4,1674450
7896,33,1674450
9111,68,1674450
10326,41,1674450
11542,7,1674450
12757,-42,1674450
13972,-37,1674450
15188,-37,1674501
16402,-18,1674501
17618,49,1674501
18834,74,1674501
20048,47,1674501
21263,-4,1674501
22479,-32,1674501
23694,-29,1674501
24910,32,1674501
26124,57,1656206
27339,22,1656206
28555,-11,1656206
29771,-39,1656206
30986,-52,1656206
32201,-10,1656206
33415,41,1656206
34631,70,1656206
35846,67,1656206
37061,19,1686938
38277,-48,1686938
39491,-41,1686938
40707,-48,1686938
41923,-22,1686938
43138,22,1686938
44353,59,1686938
45569,89,1686938
46784,43,1686938
47998,-23,1684831
49214,-80,1684831
50429,-78,1684831
51645,-24,1684831
52859,41,1684831
54074,77,1684831
55290,85,1684831
56505,72,1684831
57721,2,1684831
58936,-69,1671315
60151,-98,1671315
61366,-58,1671315
62581,22,1671315
63796,87,1671315
65012,110,1671315
66227,53,1671315
67442,-13,1671315
68657,-88,1671315
69872,-111,1681336
71088,-72,1681336
72302,33,1681336
73518,103,1681336
74733,113,1681336
75948,55,1681336
77164,-39,1681336
78379,106,1681336
85670,69,1681336
86885,2,1681336
88100,-65,1681336
89316,-88,1681336
90530,-58,1681336
91746,10,1700608
92961,71,1707649
94176,84,1707649
95391,59,1707649
96606,-6,1707649
97822,-63,1707649
99038,-76,1707649
100252,-39,1707649
101467,18,1707649
102683,70,1707649
103898,68,1699220
105113,41,1699220
106329,-7,1699220
107544,-19,1699220
108759,-80,1699220
109975,-61,1699220
111190,-30,1699220
112405,36,1699220
113620,56,1699220
114835,66,1697525
116050,14,1697525
117267,-40,1697525
118481,-49,1697525
119696,-30,1697525
120912,-7,1697525
122126,44,1697525
123342,42,1697525
124557,44,1697525
125772,23,1728102
126987,2,1728102
128203,-38,1728102
129419,-37,1728102
130633,-13,1728102
131848,2,1728102
133064,60,1728102
134280,61,1728102
135494,-25,1728102
136709,2,1745575
137925,-3,1745575
139140,-30,1745575
140356,1,1745575
141570,54,1745575
142786,85,1745575
144001,102,1745575
145216,111,1745575
146431,38,1745575
147646,-77,1727691
148862,-124,1727691
150077,-125,1727691
151293,-77,1727691
152508,26,1727691
153722,100,1727691
154938,111,1727691
156153,73,1727691
157369,5,1727691
158583,-66,1763574
159799,-98,1698038
161013,-78,1698038
162229,-13,1698038
169543,-45,1698038
170735,-79,1698038
171950,-59,1698038
173165,15,1698038
174380,73,1698038
175596,92,1698038
176810,66,1698038
178025,5,1698038
179241,-50,1670801
180456,-86,1670874
181672,-57,1662938
182887,-7,1662938
184101,54,1662938
185317,78,1662938
186532,68,1662938
187748,22,1662938
188963,-23,1662938
190177,-54,1662938
191392,-52,1662944
192608,-19,1636832
193823,17,1636832
195038,48,1636832
196253,52,1636832
197469,27,1636832
198684,-14,1636832
199900,-44,1636832
201114,-45,1636832
202330,-23,1636832
203545,14,1636832
204761,44,1636832
205976,57,1636832
207190,31,1636832
208406,-3,1636832
209621,-29,1636832
210836,-30,1636832
212051,-17,1636832
213266,5,1636832
214481,36,1636832
215697,38,1636832
216912,29,1636832
218128,4,1636832
219342,-21,1636832
220558,-33,1636832
221773,-23,1636832
222988,5,1666382
224203,29,1666382
225419,46,1666382
226634,34,1666382
227849,12,1666382
229064,-17,1666382
230280,-24,1666382
231494,-20,1666382
232709,3,1666382
233925,16,1666382
235140,25,1677482
236356,27,1677482
237571,52,1677482
238786,32,1677482
240001,-9,1677482
241217,-34,1677482
242431,-42,1677482
243646,-21,1677482
244862,16,1677482
246076,-3,1677482
254582,26,1677482
255797,65,1677482
257013,68,1700402
258228,33,1700402
259444,-17,1700402
260658,-59,1700402
261874,-64,1700402
263088,-30,1700402
264303,22,1700402
265519,60,1700402
266734,66,1700402
267949,40,1705233
269164,-6,1705233
270379,-37,1705233
271594,-46,1705233
272809,-39,1705233
274025,1,1705233
275240,35,1705233
276455,51,1705233
277670,45,1705233
278886,17,1710475
280101,-13,1710475
281316,-27,1710475
282532,-18,1710475
283746,-3,1710475
284961,20,1710475
286177,25,1710475
287392,26,1710475
288608,12,1710475
289822,-8,1696856
291037,-19,1696856
292253,-11,1696856
293468,6,1696856
294683,20,1696856
295899,26,1696856
297114,20,1696856
298329,-3,1696856
299544,-16,1696856
300760,-18,1706364
301975,-9,1706364
303189,13,1706364
304405,29,1706364
305620,37,1706364
306835,30,1706364
308050,9,1706364
309267,-29,1706364
310481,-46,1706364
311696,-27,1710115
312911,25,1710115
314126,62,1710115
315341,65,1710115
316556,29,1710115
317772,-9,1710115
318987,-22,1710115
320202,-25,1710115
321417,6,1710115
322633,23,1721678
323847,19,1721678
325063,11,1721678
326278,12,1721678
327494,6,1721678
328708,-1,1721678
329924,1,1721678
331138,15,1721678
338543,1,1721678
339644,-14,1721678
340860,-12,1721678
342075,0,1721678
343290,7,1721678
344505,8,1733704
345720,-11,1733704
346936,8,1733704
348150,22,1733704
349366,4,1733704
350581,5,1733704
351796,14,1733704
353011,12,1733704
354226,-1,1733704
355441,-10,1720702
356656,-15,1720702
357871,-8,1720702
359087,7,1720702
360302,19,1720702
361516,33,1720702
362732,26,1720702
363947,-2,1720702
365162,-12,1720702
366377,-6,1718338
367592,4,1718338
368807,21,1718338
370023,29,1718338
371238,15,1718338
372453,3,1718338
373668,-5,1718338
374884,-26,1718338
376099,-11,1718338
377314,16,1726972
378529,32,1730261
379744,44,1730261
380960,32,1730261
382174,-9,1730261
383390,-34,1730261
384605,-19,1730261
385820,-12,1730261
387036,1,1730261
388250,21,1730261
389466,8,1716385
390681,0,1716385
391896,-4,1716385
393111,0,1716385
394327,3,1716385
395542,-3,1716385
396756,7,1716385
397972,2,1716385
399187,1,1716385
400403,24,1723426
401617,11,1723426
402832,-12,1723426
404047,6,1723426
405263,33,1723426
406478,-3,1723426
407694,0,1723426
408908,-6,1723426
410124,-33,1723426
411339,-28,1723426
412555,-4,1723426
413769,10,1723426
414985,15,1705798
423491,50,1705798
424707,44,1705798
425922,19,1705798
427137,-20,1705798
428352,-41,1705798
429567,-50,1705798
430783,-22,1705798
431997,22,1705798
433213,51,1704000
434428,52,1704000
435643,29,1704000
436859,-9,1704000
438073,-42,1704000
439289,-57,1704000
440504,-31,1704000
441719,5,1704000
442935,41,1704000
444149,69,1721575
445364,35,1721575
446580,-2,1721575
447796,-28,1721575
449010,-47,1721575
450225,-29,1721575
451441,9,1721575
452655,79,1721575
453871,51,1721575
455086,8,1721518
456301,2,1733550
457517,-25,1733550
458731,-9,1733550
459947,32,1733550
461162,64,1733550
462377,40,1733550
463593,2,1733550
464808,-44,1733550
466022,-65,1733601
467237,-41,1733601
468453,11,1733601
469668,69,1733601
470884,72,1733601
472098,49,1733601
473314,-8,1733601
474529,-33,1733601
475744,-43,1733601
476960,-45,1733628
478174,-16,1740796
479389,11,1740796
480604,39,1740796
481820,36,1740796
483036,28,1740796
484250,2,1740796
485465,-23,1740796
486681,-31,1740796
487896,-21,1740796
489111,0,1740796
490326,7,1740796
491542,8,1740796
492757,9,1740796
493972,24,1740796
495187,26,1740796
496402,22,1740796
497617,-13,1741258
498833,-47,1741258
500048,6,1741258
508554,-48,1735040
509770,-70,1735040
510985,-54,1735040
512200,4,1735040
513416,55,1735040
514631,84,1735040
515846,60,1735040
517061,-5,1735040
518276,-58,1735040
519492,-73,1735040
520708,-32,1746809
521923,17,1746809
523137,58,1746809
524353,64,1746809
525569,49,1746809
526784,12,1746809
527999,-19,1746809
529214,-27,1746809
530429,-13,1746809
531645,15,1751177
532860,50,1751177
534075,64,1751177
535290,35,1751177
536506,2,1751177
537721,-34,1751177
538936,-46,1751177
540151,-32,1751177
541366,7,1751177
542581,38,1746038
543797,43,1746038
545012,31,1746038
546227,-2,1746038
547442,-29,1746038
548657,-36,1746038
549872,-15,1746038
551088,14,1746038
552304,39,1746038
553518,43,1741978
554733,25,1741978
555949,11,1741978
557163,-16,1741978
558379,-32,1741978
559594,-18,1741978
560809,3,1741978
562024,26,1741978
563240,47,1741978
564455,28,1735554
565670,5,1735554
