timestamp_us,acceleration,capacitance
907,86,0
2120,34,0
3331,40,0
4544,82,0
5756,57,0
6968,37,0
8181,67,8334904
9394,50,8336805
10606,42,8336805
11819,64,8336805
13031,39,8336805
14243,14,8336805
15456,57,8336805
16668,45,8336805
17881,48,8336805
19092,73,8336805
20305,36,8336866
21518,32,8339170
22730,44,8339170
23942,49,8339170
25155,8,8339170
26367,46,8339170
27579,50,8339170
28791,36,8339170
30005,24,8339170
31217,40,8338994
32429,14,8333362
33641,56,8333362
34854,35,8333362
36067,21,8333362
37278,43,8333362
38491,33,8333362
39703,38,8333362
40915,20,8333362
42128,31,8333362
43341,9,8333362
44553,82,8333362
45765,26,8333362
46977,50,8333362
48190,29,8333362
49402,16,8333362
50615,52,8333362
51827,47,8330947
53040,10,8330947
54251,35,8330947
55464,35,8330947
56677,19,8330947
57889,39,8330947
59101,32,8330947
60313,34,8330947
61525,41,8330947
62738,37,8330947
63950,26,8337679
65162,29,8337679
66375,44,8337679
67587,16,8337679
68800,31,8337679
70013,39,8337679
71225,33,8337679
72437,36,8337679
73650,27,8337679
74862,30,8334852
76074,22,8334852
77286,31,8334852
78499,28,8337217
85864,32,8336805
86987,39,8336805
88198,34,8336805
89411,42,8336805
90624,41,8336805
91835,23,8336805
93048,42,8336805
94260,32,8336805
95473,24,8336805
96685,15,8336805
97898,21,8336805
99110,46,8336805
100322,40,8336805
101534,24,8336805
102747,35,8336805
103959,32,8336805
105172,22,8336805
106384,32,8336805
107597,20,8335418
108810,33,8335418
110022,29,8335418
111234,29,8335418
112446,33,8335418
113659,49,8335418
114871,47,8335418
116083,22,8335418
117296,31,8335418
118509,29,8336446
119722,28,8336446
120933,39,8336446
122146,34,8336446
123359,47,8336446
124571,51,8336446
125784,42,8336446
126996,26,8336446
128208,35,8336446
129421,24,8335778
130634,20,8335778
131846,40,8335778
133058,43,8335778
134271,34,8335778
135483,24,8335778
136695,32,8335778
137907,20,8335778
139120,34,8335778
140333,33,8333414
141546,33,8333414
142758,29,8333414
143970,33,8333414
145183,30,8333414
146395,41,8333414
147607,29,8333414
148820,28,8333414
150032,42,8333414
151245,30,8334339
152457,21,8336600
153670,24,8336600
154882,23,8336600
156094,24,8336600
157307,24,8336600
158519,39,8336600
159731,20,8336600
160944,34,8336600
162157,40,8336600
170643,35,8336600
171857,42,8336600
173068,37,8333311
174281,60,8338347
175493,48,8338347
176706,28,8338347
177919,35,8338347
179131,83,8338347
180344,46,8338347
181556,33,8338347
182769,35,8338347
183982,32,8338347
185194,67,8334442
186406,39,8334442
187619,39,8334442
188831,28,8334442
190044,68,8334442
191257,48,8334442
192469,17,8334442
193681,30,8334442
194893,37,8334442
196106,42,8335726
197319,14,8335726
198531,67,8335726
199744,39,8335726
200956,22,8335726
202169,37,8335726
203381,34,8335726
204594,29,8335726
205806,30,8335726
207018,23,8335727
208232,18,8335983
209444,25,8335983
210656,50,8335983
211869,33,8335983
213081,21,8335983
214293,24,8335983
215506,34,8335983
216719,38,8335983
217931,26,8335928
219143,38,8334904
220356,42,8334904
221568,29,8334904
222781,24,8334904
223994,25,8334904
225207,31,8334904
226419,25,8334904
227631,23,8334904
228843,29,8334904
230056,28,8334904
231269,40,8334904
232481,34,8334904
233693,33,8334904
234906,29,8334904
236118,26,8334904
237330,34,8334904
238544,34,8335264
239755,24,8335264
240968,24,8335264
242181,27,8335264
243392,33,8335264
244605,38,8335264
245818,35,8335264
247030,42,8335264
254305,35,8335264
255517,38,8335264
