timestamp_us,acceleration,capacitance
910,88,0
2122,43,0
3334,46,0
4546,31,0
5760,65,0
6971,54,0
8184,84,0
9397,141,0
10609,96,0
11821,49,0
13033,22,0
14246,36,0
15459,80,0
16671,76,0
17884,53,0
19096,39,0
20309,78,0
21522,96,0
22734,57,0
23946,30,0
25158,44,0
26371,63,0
27584,33,0
28796,33,0
30009,48,0
31221,51,0
32434,53,0
33646,27,0
34859,26,0
36071,49,0
37284,60,0
38496,71,0
39709,81,0
40921,61,0
42133,32,0
43347,28,0
44558,50,0
45771,101,0
46983,52,0
48196,41,0
49409,45,0
50620,43,0
51833,43,0
53045,27,0
54258,45,0
55470,76,0
56683,48,0
57896,39,0
59108,32,0
60320,45,0
61533,46,0
62745,28,0
63957,45,0
65171,24,0
66382,52,0
67595,21,0
68807,38,0
70020,37,0
71232,31,0
72445,35,0
73658,39,0
74870,43,0
76083,63,0
77295,33,0
78507,39,0
86995,41,0
88207,36,0
89419,28,0
90632,46,0
91844,27,0
93057,46,0
94269,27,0
95482,37,0
96694,31,0
97907,48,0
99120,21,0
100332,17,0
101545,39,0
102757,52,0
103970,39,0
105182,36,0
106395,30,0
107608,32,0
108819,32,0
110032,29,0
111244,21,0
112458,34,0
113669,38,0
114882,30,0
116095,35,0
117307,26,0
118519,35,0
119732,30,0
120944,35,0
122156,28,0
123369,30,0
124582,30,0
125794,29,0
127007,27,0
128219,33,0
129431,43,0
130643,24,0
131856,26,0
133068,23,0
134281,32,0
135494,47,0
136706,39,0
137919,25,0
139131,45,0
140343,33,0
141555,17,0
142769,33,0
143980,28,0
145193,30,0
146405,34,0
147618,30,0
148830,24,0
150043,24,0
151255,36,0
152468,69,0
153680,55,0
154893,49,0
156105,54,0
157318,77,0
158530,54,0
159743,21,0
160955,64,0
162167,74,0
163380,71,0
171866,74,0
173079,47,0
174291,42,0
175504,82,0
176716,84,0
177928,47,0
179142,38,0
180354,63,0
181567,64,0
182778,43,0
183992,43,0
185204,88,0
186416,95,0
187629,61,0
188841,20,0
190054,68,0
191266,73,0
192478,42,0
193691,31,0
194903,46,0
196116,32,0
197328,35,0
198541,44,0
199753,46,0
200965,30,0
202178,48,0
203391,54,0
204603,54,0
205815,42,0
207027,22,0
208240,46,0
209453,51,0
210666,36,0
211878,24,0
213091,52,0
214303,60,0
215515,54,0
216728,9,0
217940,39,0
219152,39,0
220364,26,0
221577,22,0
222789,30,0
224002,56,0
225215,37,0
226427,39,0
227639,36,0
228851,39,0
230064,42,0
231277,26,0
232489,55,0
233701,54,0
234914,33,0
236127,38,0
237339,43,0
238552,62,0
239764,47,0
240976,32,0
242189,55,0
243401,67,0
244614,46,0
245826,27,0
247038,43,0
248251,37,0
255525,35,0
256737,38,0
257950,43,0
259163,41,0
260375,27,0
261587,24,0
262799,45,0
264012,70,0
265225,23,0
266436,24,0
267650,37,0
268861,38,0
270074,45,0
271286,37,0
272499,17,0
273710,27,0
274923,34,0
276135,37,0
277348,33,0
278561,66,0
279773,22,0
280986,26,0
282198,50,0
283410,27,0
284622,35,0
285834,34,0
287047,26,0
288259,34,0
289472,32,0
290684,31,0
291896,65,0
293108,35,0
294321,81,0
295533,85,0
296745,46,0
297959,30,0
299171,37,0
300383,35,0
301595,32,0
302808,44,0
304020,61,0
305232,29,0
306445,30,0
307657,54,0
308869,15,0
310081,26,0
311294,38,0
312506,33,0
313719,36,0
314932,27,0
316144,25,0
317356,46,0
318569,38,0
319781,33,0
320993,39,0
322207,19,0
323419,40,0
324631,24,0
325843,31,0
327056,39,0
328268,48,0
329480,22,0
330693,31,0
331905,44,0
339181,56,0
340392,50,0
341604,32,0
342816,37,0
344028,33,0
345240,34,0
346453,37,0
347666,41,0
348878,18,0
350091,23,0
351303,29,0
352515,25,0
353728,27,0
354940,29,0
356152,18,0
357364,24,0
358577,39,0
359789,17,0
361001,41,0
362214,24,0
363426,27,0
364638,32,0
365851,38,0
367063,19,0
368276,26,0
369488,27,0
370700,29,0
371913,20,0
373126,36,0
374337,21,0
375550,39,0
376763,28,0
377975,11,0
379187,42,0
380400,84,0
381612,50,0
382824,43,0
384036,61,0
385249,104,0
386461,68,0
387673,32,0
388886,142,0
390098,97,0
391310,74,0
392522,60,0
393735,93,0
394947,114,0
396159,45,0
397372,40,0
398584,85,0
399797,111,0
401009,53,0
402222,43,0
403433,76,0
404646,97,0
405859,48,0
407071,18,0
408283,59,0
409496,70,0
410708,58,0
411920,26,0
413132,67,0
414345,91,0
415557,32,0
422831,41,0
424044,85,0
425256,83,0
426469,24,0
427681,34,0
428893,57,0
430106,50,0
431319,39,0
432531,25,0
433743,71,0
434956,57,0
436168,26,0
437380,29,0
438592,47,0
439805,47,0
441017,18,0
442229,44,0
443442,53,0
444654,45,0
445867,30,0
447079,33,0
448291,40,0
449503,36,0
450716,32,0
451928,20,0
453140,28,0
454354,29,0
455566,29,0
456777,31,0
457990,40,0
459203,29,0
460414,27,0
461627,25,0
462839,35,0
464052,30,0
465264,47,0
466476,39,0
467688,118,0
468901,109,0
470113,65,0
471326,53,0
472538,164,0
473751,133,0
474963,106,0
476175,30,0
477387,69,0
478600,112,0
479812,82,0
481025,31,0
482237,47,0
483450,118,0
484662,115,0
485874,66,0
487086,30,0
488298,73,0
489511,87,0
490723,63,0
491936,31,0
493148,58,0
494360,90,0
495572,66,0
496785,29,0
497998,35,0
499210,65,0
506484,39,0
507696,30,0
508908,40,0
510121,51,0
511333,47,0
512546,28,0
513758,51,0
514971,57,0
516183,59,0
517395,21,0
518608,38,0
519820,60,0
521032,52,0
522245,31,0
523457,23,0
524669,80,0
525882,50,0
527094,55,0
528307,53,0
529518,19,0
530731,44,0
531944,44,0
533156,55,0
534368,38,0
535580,34,0
536792,66,0
538005,29,0
539217,20,0
540430,38,0
541642,27,0
542855,39,0
544067,30,0
545279,24,0
546491,27,0
547704,57,0
548916,24,0
550128,20,0
551341,32,0
552553,33,0
553766,27,0
554978,28,0
556191,28,0
557403,27,0
558615,14,0
559828,30,0
561040,30,0
562253,30,0
563465,44,0
564677,23,0
565890,21,0
567103,27,0
568314,20,0
569527,21,0
570740,26,0
571952,34,0
573165,19,0
574377,32,0
575589,22,0
576802,27,0
578014,31,0
579227,20,0
580439,25,0
581652,28,0
582864,73,0
590181,62,0
591351,24,0
592563,65,0
593776,54,0
594989,31,0
596201,29,0
597414,56,0
598626,59,0
599838,24,0
601051,33,0
602263,44,0
603476,57,0
604688,43,0
605900,32,0
607114,38,0
608326,55,0
609538,13,0
610751,60,0
611963,21,0
613175,33,0
614387,12,0
615600,64,0
616812,44,0
618024,26,0
619237,47,0
620450,31,0
621662,34,0
622875,45,0
624087,28,0
625299,48,0
626512,50,0
627724,44,0
628936,41,0
630149,38,0
631362,33,0
632574,103,0
633787,96,0
634999,37,0
636211,23,0
637423,83,0
638635,28,0
639848,25,0
641060,53,0
642272,28,0
643486,33,0
644698,53,0
645910,14,0
647122,26,0
648335,71,0
649548,15,0
650760,40,0
651972,26,0
653184,20,0
654398,44,0
655609,29,0
656821,42,0
658034,30,0
659247,27,0
660459,25,0
661671,35,0
662884,39,0
664096,35,0
665308,40,0
666520,39,0
673794,38,0
675007,33,0
676219,27,0
677432,35,0
678644,38,0
679856,29,0
681069,32,0
682281,32,0
683494,27,0
684706,30,0
685919,27,0
687131,47,0
688343,61,0
689556,64,0
690768,34,0
691980,47,0
693193,88,0
694406,76,0
695618,46,0
696830,44,0
698043,63,0
699255,62,0
700467,82,0
701680,45,0
702892,178,0
704104,87,0
705317,74,0
706529,67,0
707742,144,0
708954,108,0
710167,74,0
711379,47,0
712591,103,0
713804,151,0
715016,106,0
716229,25,0
717441,71,0
718654,103,0
719867,86,0
721079,38,0
722291,59,0
723504,69,0
724716,78,0
725928,36,0
727140,51,0
728353,47,0
729565,43,0
730777,53,0
731991,13,0
733203,41,0
734415,40,0
735627,39,0
736839,33,0
738052,24,0
739265,51,0
740477,38,0
741689,30,0
742902,51,0
744114,65,0
745326,42,0
746540,22,0
747752,40,0
748964,52,0
750176,50,0
758663,68,0
759876,53,0
761088,20,0
762301,67,0
763513,52,0
764725,30,0
765938,44,0
767151,50,0
768363,34,0
769575,29,0
770788,27,0
772000,66,0
773212,28,0
774424,27,0
775637,51,0
776850,32,0
778062,42,0
779274,41,0
780486,13,0
781699,55,0
782911,47,0
784124,72,0
785336,44,0
786549,24,0
787761,48,0
788973,51,0
790187,45,0
791398,29,0
792611,62,0
793824,69,0
795036,50,0
796248,28,0
797461,43,0
798672,47,0
799885,60,0
801097,79,0
802310,40,0
803523,60,0
804734,62,0
805947,126,0
807160,25,0
808372,38,0
809585,87,0
810797,93,0
812010,67,0
813221,107,0
814434,88,0
815646,104,0
816858,27,0
818071,51,0
819283,79,0
820496,76,0
821708,30,0
822920,61,0
824133,61,0
825346,43,0
826558,50,0
827771,33,0
828983,55,0
830195,7,0
831408,32,0
832621,34,0
833832,39,0
835045,137,0
842319,194,0
843533,41,0
844744,68,0
845957,111,0
847169,86,0
848381,75,0
849594,26,0
850806,83,0
852019,122,0
853231,88,0
854444,23,0
855657,44,0
856869,73,0
858082,57,0
859293,44,0
860506,50,0
861719,84,0
862931,63,0
864144,28,0
865356,63,0
866569,52,0
